2019-05-03 00:39:00.847 [main] INFO  com.company.Mastermind - system mode = false
2019-05-03 00:39:06.985 [main] INFO  com.company.Mastermind - username = USER
2019-05-03 00:39:12.519 [main] WARN  com.company.Mastermind - menu choice = 0
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - menu choice = 0
2019-05-03 00:39:15.895 [main] WARN  com.company.Mastermind - game choice = 2
2019-05-03 00:39:15.895 [main] WARN  com.company.Main - system mode = false
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - minimum number = 1000
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - maximum number = 9999
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - random number = 5434
2019-05-03 00:39:15.895 [main] WARN  com.company.Main - Brainy number = 5434
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - minimum number = 1000
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - maximum number = 9999
2019-05-03 00:39:15.895 [main] INFO  com.company.Mastermind - random number = 9387
2019-05-03 00:39:15.895 [main] WARN  com.company.Main - Mr CPU number = 9387
2019-05-03 00:39:15.895 [main] WARN  com.company.Mastermind - reset number case = 4
2019-05-03 00:39:15.895 [main] WARN  com.company.Mastermind - reset chance = 
2019-05-03 00:39:15.895 [main] WARN  com.company.Mastermind - reset player number = 
2019-05-03 00:39:15.895 [main] WARN  com.company.Mastermind - reset array clue = ???
2019-05-03 00:39:15.895 [main] WARN  com.company.Mastermind - reset number well positioned = 0
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset number present = 0
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset number case = 4
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset chance = 
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset player number = 
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset array clue = ???
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset number well positioned = 0
2019-05-03 00:39:15.910 [main] WARN  com.company.Mastermind - reset number present = 0
2019-05-03 00:39:15.910 [main] ERROR com.company.Mastermind - typing error previous number = ???
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - menu choice = 0
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - chance = 8
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - name = USER
2019-05-03 00:39:19.879 [main] WARN  com.company.Mastermind - previous number = ???
2019-05-03 00:39:19.879 [main] WARN  com.company.Mastermind - player number = 8654
2019-05-03 00:39:19.879 [main] WARN  com.company.Mastermind - array clue = ???
2019-05-03 00:39:19.879 [main] WARN  com.company.Mastermind - number well positioned = 0
2019-05-03 00:39:19.879 [main] WARN  com.company.Mastermind - number present = 0
2019-05-03 00:39:19.879 [main] WARN  com.company.Getters - player number -> numeric = true
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:19.879 [main] INFO  com.company.Mastermind - username = USER
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - chance = 7
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - number column 0 = 8 is becoming 9 
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - number column 1 = 6 is becoming 5 
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - number column 2 = 5 is becoming 6 
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - game choice = 2
2019-05-03 00:39:21.083 [main] INFO  com.company.Mastermind - number case = 4
2019-05-03 00:39:21.083 [main] WARN  com.company.Mastermind - number column 3 = 4 is becoming 5 
